@relation tCoursesSelected

@attribute metadata.site numeric
@attribute metadata.well numeric
@attribute Stimulation_duration {100ms}
@attribute Stimulation_intensity {'100\% light','50\% light','10\% light','2\% light'}
@attribute Stimulation_treatment {'UO126 50uM'}
@attribute RealTime numeric
@attribute trackObjectsLabel numeric
@attribute pos.x numeric
@attribute pos.y numeric
@attribute flNuc.nuc.raw numeric
@attribute flNuc.nuc.corr numeric
@attribute flErk.nuc.raw numeric
@attribute flErk.nuc.corr numeric
@attribute flErk.cyt.raw numeric
@attribute flErk.cyt.corr numeric

@data
0,1,100ms,'100\% light','UO126 50uM',47,1,686.823353,43.371257,0.089976,0.027271,0.189999,0.165884,0.069953,0.04584
0,1,100ms,'100\% light','UO126 50uM',48,1,687.144578,43.231928,0.08977,0.027287,0.188947,0.164824,0.069819,0.045697
0,1,100ms,'100\% light','UO126 50uM',49,1,686.588415,43.152439,0.089899,0.027888,0.189154,0.165187,0.069828,0.045856
0,1,100ms,'100\% light','UO126 50uM',50,1,686.018127,43.510574,0.090173,0.027178,0.194362,0.169895,0.070928,0.046484
0,1,100ms,'100\% light','UO126 50uM',51,1,685.781818,43.430303,0.090335,0.026947,0.19313,0.168921,0.070409,0.046207
0,1,100ms,'100\% light','UO126 50uM',52,1,686.130699,43.395137,0.090345,0.027156,0.192491,0.168267,0.070071,0.045849
0,1,100ms,'100\% light','UO126 50uM',53,1,685.942424,43.369697,0.090289,0.027734,0.189441,0.165205,0.070208,0.045985
0,1,100ms,'100\% light','UO126 50uM',54,1,685.802432,43.158055,0.090154,0.028129,0.188347,0.164406,0.069891,0.045957
0,1,100ms,'100\% light','UO126 50uM',55,1,687.329231,43.233846,0.090815,0.027933,0.194098,0.170146,0.071167,0.047223
0,1,100ms,'100\% light','UO126 50uM',56,1,687.734139,43.29003,0.090492,0.027169,0.189836,0.165644,0.071627,0.047442
0,1,100ms,'100\% light','UO126 50uM',57,1,687.990964,43.418675,0.090224,0.027542,0.188086,0.163721,0.071373,0.047017
0,1,100ms,'100\% light','UO126 50uM',58,1,688.703593,43.242515,0.090422,0.027947,0.189913,0.165875,0.070664,0.046626
0,1,100ms,'100\% light','UO126 50uM',59,1,688.769461,42.760479,0.090548,0.027612,0.188844,0.164501,0.071062,0.046718
0,1,100ms,'100\% light','UO126 50uM',60,1,689.886905,42.761905,0.090807,0.027305,0.191002,0.16687,0.071369,0.047226
0,1,100ms,'100\% light','UO126 50uM',61,1,690.141176,42.470588,0.09053,0.027092,0.186821,0.162431,0.071878,0.047486
0,1,100ms,'100\% light','UO126 50uM',62,1,691.049563,42.247813,0.090484,0.027706,0.184554,0.16002,0.071285,0.046752
